Country code,Year,cereal_yield_(kg_per_hectare),"co2_emissions,_total_(ktco2)",co2_emissions_per_capita_(metric_tons),"co2_emissions_per_units_of_gdp_(kg/$1,000_of_2005_ppp_$)",energy_use_per_capita_(kilograms_of_oil_equivalent),"energy_use_per_units_of_gdp_(kg_oil_eq./$1,000_of_2005_ppp_$)","foreign_direct_investment,_net_inflows_(%_of_gdp)",gdp_($),gni_per_capita_(atlas_$),nationally_terrestrial_protected_areas_(%_of_total_land_area),population,population_growth_(annual_%),population_in_urban_agglomerations_>1million_(%),ratio_of_girls_to_boys_in_primary_&_secondary_school_(%),"under-five_mortality_rate_(per_1,000)",urban_population,urban_population_growth_(annual_%)
MAR,1993,560.4,28217.565,1.08081091714758,413.643365355181,309.488301031586,118.446048560113,1.83375575326436,26801064630.6054,1020.0,1.25017597709,26107772.0,1.65282792677604,18.8203688924509,71.093,75.3,13153095.5336,2.9715283549714
MAR,1994,1584.9,29640.361,1.1175089731409,393.71871886917495,327.926488108703,115.534460916715,1.81516110700869,30351265891.5571,1130.0,1.54495026236,26523600.0,1.58018549318371,19.018662624983,72.328,72.2,13537645.44,2.88172230439075
MAR,1995,446.7,30373.761,1.12793687752055,431.875658289111,319.067497010613,122.167727695034,0.280075474172255,32986182669.7892,1090.0,1.54493896965,26928600.0,1.51540161288872,18.996858358771,73.667,68.9,13922086.2,2.80021586067361
MAR,1996,1687.9,31195.169,1.14169055072555,395.265833648163,332.121965780285,114.9842797539,0.208555853867965,36638763638.8669,1270.0,1.5449276767,27323664.0,1.45642210719867,18.9386130644851,74.657,66.0,14213770.0128,2.07346995781089
MAR,1997,833.3,31862.563,1.14991406834119,412.920940821974,337.945443528874,121.352329126421,0.0106802078554399,33414747559.5675,1220.0,1.5449163835,27708647.0,1.39913906324527,18.8915034357325,75.826,63.0,14502705.8398,2.0124027713947
MAR,1998,1122.2,32038.579,1.14086598702603,385.67449798642,340.250739566061,115.023179465385,0.0296577651871953,40021694630.8991,1280.0,1.54490509055,28082684.0,1.34086280907444,18.8565416325591,77.586,60.3,14788341.3944,1.95038850569078
MAR,1999,743.1,33153.347,1.16554860296999,396.992125046863,358.369590598702,122.062610655127,0.00667404192874494,39734023742.7921,1290.0,1.54490509055,28444414.0,1.27986381949397,18.8338631268691,80.247,57.6,15069850.5372,1.88569679707
MAR,2000,366.6,33905.082,1.177536349162,399.629348389909,355.583200165483,120.676939341751,0.596261718911122,37020609824.9576,1310.0,1.54490509055,28793236.0,1.21887016163291,18.8237369359943,82.444,55.3,15346794.788,1.82105489442041
MAR,2001,894.3,37715.095,1.29475199528281,413.322916204428,374.194742842956,119.453967171863,0.381284233178066,37724674865.0801,1320.0,1.54490509055,29129204.0,1.16007463704063,18.8248158102775,84.508,52.8,15624905.0256,1.79594736120851
MAR,2002,1068.8,38254.144,1.29877889644,405.774762918688,375.89804226811,117.441035884577,0.19586485381073,40416114690.137,1300.0,1.54490509055,29453931.0,1.10861368482463,18.8366367803333,85.954,50.5,15899231.9538,1.7404686024627
MAR,2003,1433.2,37561.081,1.26169574417685,374.750350926803,369.987842923804,109.89422340075,4.6418302276743,49822651701.729,1470.0,1.54490509055,29770316.0,1.06844080188956,18.8567867401878,87.093,48.4,16171235.6512,1.6963283679478
MAR,2004,1512.3,40590.023,1.3493058275884,386.415239539379,403.68395186621,115.60732027474,1.38205662541657,56948015336.0397,1740.0,1.5454482483,30082152.0,1.04202493916368,18.8829974664047,87.401,46.3,16442904.2832,1.66599466411177
MAR,2005,784.3,42823.226,1.40900761843237,395.883786487409,430.082014056572,120.838591642448,2.72118191305404,59523857868.0203,1960.0,1.5454482483,30392473.0,1.02629399945667,18.9123603071063,87.351,44.2,16715860.15,1.64639447271155
MAR,2007,516.2,46281.207,1.49240301866432,386.58158557038,462.742701435053,119.86561605322,3.73093114469627,75226318359.375,2240.0,1.5454482483,31011199.0,1.00178622863,19.0012614475177,88.071,40.3,17267035.6032,1.61429039536841
MEX,1990,2424.4,325603.931,3.86214036950511,386.589343182858,1452.94357848748,145.435548672511,0.970272193800885,262709785592.711,2790.0,2.43082500478,84306602.0,1.96462562777135,33.3025259397835,96.518,48.6,60194913.828,2.63916444172451
MEX,1991,2426.9,336586.596,3.91726855559541,383.439286437533,1490.22393667673,145.869601433187,1.50801121123804,314453895611.752,3250.0,2.43436727137,85923799.0,1.90006678513773,33.41171285967,97.324,46.6,61693287.682,2.45872745600169
MEX,1992,2708.2,342629.812,3.91472559178737,376.656148993408,1478.04165993322,142.210090242389,1.20816502137744,363609268789.416,3760.0,2.6367804942,87523328.0,1.8444518212442,33.5442294881657,96.342,44.5,63191842.816,2.40000880570444
MEX,1993,2639.5,341441.704,3.83170061738395,368.16882711427803,1458.31631825773,140.122275216045,1.08855379212495,403195508733.866,4170.0,3.26460902938,89109703.0,1.79628651149438,33.6947582464729,96.994,42.2,64693644.378,2.34877410469135
MEX,1994,2518.4,362424.278,3.99623948621947,374.114853760701,1480.39436095607,138.589672057214,2.60181367564259,421725049057.944,4540.0,3.96163141218,90691331.0,1.75935450620212,33.8629080214955,97.038,40.3,66204671.63,2.30880643796618
